kMessageId;PostedDateTime;TransactionType;OrderID;MerchantOrderID;AmountType;AmountDescription;Amount;QuantityPurchased;SellerSKU;MarketplaceName;SettlementID
3167733674;Wed Oct 01 2025 09:47:56 GMT+0000 (GMT);Order;303-8142600-1469927;;ItemPrice;Principal;22.27;;;Amazon.de;25671855822
3167733675;Wed Oct 01 2025 09:47:56 GMT+0000 (GMT);Order;303-8142600-1469927;;ItemPrice;Tax;4.45;;;Amazon.de;25671855822
3167733676;Wed Oct 01 2025 09:47:56 GMT+0000 (GMT);Order;303-8142600-1469927;;ItemPrice;Shipping;5.75;;;Amazon.de;25671855822
3167733677;Wed Oct 01 2025 09:47:56 GMT+0000 (GMT);Order;303-8142600-1469927;;ItemPrice;ShippingTax;1.15;;;Amazon.de;25671855822
3167733678;Wed Oct 01 2025 09:47:56 GMT+0000 (GMT);Order;303-8142600-1469927;;ItemFees;Commission;-4.09;;;Amazon.de;25671855822
3167733679;Wed Oct 01 2025 09:47:56 GMT+0000 (GMT);Order;303-8142600-1469927;;ItemFees;ShippingHB;-1.07;;;Amazon.de;25671855822
3167733843;Wed Oct 01 2025 09:48:05 GMT+0000 (GMT);Order;306-0485996-7472362;;ItemPrice;Principal;12.18;;;Amazon.de;25671855822
3167733844;Wed Oct 01 2025 09:48:05 GMT+0000 (GMT);Order;306-0485996-7472362;;ItemPrice;Tax;2.32;;;Amazon.de;25671855822
3167733845;Wed Oct 01 2025 09:48:05 GMT+0000 (GMT);Order;306-0485996-7472362;;ItemPrice;Shipping;4.12;;;Amazon.de;25671855822
3167733846;Wed Oct 01 2025 09:48:05 GMT+0000 (GMT);Order;306-0485996-7472362;;ItemPrice;ShippingTax;0.78;;;Amazon.de;25671855822
3167733847;Wed Oct 01 2025 09:48:05 GMT+0000 (GMT);Order;306-0485996-7472362;;ItemFees;Commission;-2.23;;;Amazon.de;25671855822
3167733848;Wed Oct 01 2025 09:48:05 GMT+0000 (GMT);Order;306-0485996-7472362;;ItemFees;ShippingHB;-0.76;;;Amazon.de;25671855822
3167729439;Wed Oct 01 2025 09:48:07 GMT+0000 (GMT);Order;171-8582859-4041153;;ItemPrice;Principal;47.08;;;Amazon.fr;25624439742
3167729440;Wed Oct 01 2025 09:48:07 GMT+0000 (GMT);Order;171-8582859-4041153;;ItemPrice;Tax;9.42;;;Amazon.fr;25624439742
3167729441;Wed Oct 01 2025 09:48:07 GMT+0000 (GMT);Order;171-8582859-4041153;;ItemPrice;Shipping;7.42;;;Amazon.fr;25624439742
3167729442;Wed Oct 01 2025 09:48:07 GMT+0000 (GMT);Order;171-8582859-4041153;;ItemPrice;ShippingTax;1.48;;;Amazon.fr;25624439742
3167729443;Wed Oct 01 2025 09:48:07 GMT+0000 (GMT);Order;171-8582859-4041153;;ItemFees;Commission;-8.73;;;Amazon.fr;25624439742
3167729444;Wed Oct 01 2025 09:48:07 GMT+0000 (GMT);Order;171-8582859-4041153;;ItemFees;ShippingHB;-1.38;;;Amazon.fr;25624439742
3167729445;Wed Oct 01 2025 09:48:07 GMT+0000 (GMT);Order;171-8582859-4041153;;ItemFees;DigitalServicesFee;-0.2;;;Amazon.fr;25624439742
3167729087;Wed Oct 01 2025 09:48:32 GMT+0000 (GMT);Order;407-3809271-0484336;;ItemPrice;Principal;35.04;;;Amazon.fr;25624439742
3167729088;Wed Oct 01 2025 09:48:32 GMT+0000 (GMT);Order;407-3809271-0484336;;ItemPrice;Shipping;8.9;;;Amazon.fr;25624439742
3167729089;Wed Oct 01 2025 09:48:32 GMT+0000 (GMT);Order;407-3809271-0484336;;ItemFees;Commission;-6.44;;;Amazon.fr;25624439742
3167729090;Wed Oct 01 2025 09:48:32 GMT+0000 (GMT);Order;407-3809271-0484336;;ItemFees;ShippingHB;-1.38;;;Amazon.fr;25624439742
3167729091;Wed Oct 01 2025 09:48:32 GMT+0000 (GMT);Order;407-3809271-0484336;;ItemFees;DigitalServicesFee;-0.15;;;Amazon.fr;25624439742
3167729418;Wed Oct 01 2025 09:48:42 GMT+0000 (GMT);Order;403-1887275-0876348;;ItemPrice;Principal;13.87;;;Amazon.fr;25624439742
3167729419;Wed Oct 01 2025 09:48:42 GMT+0000 (GMT);Order;403-1887275-0876348;;ItemPrice;Shipping;8.9;;;Amazon.fr;25624439742
3167729420;Wed Oct 01 2025 09:48:42 GMT+0000 (GMT);Order;403-1887275-0876348;;ItemFees;Commission;-2.54;;;Amazon.fr;25624439742
3167729421;Wed Oct 01 2025 09:48:42 GMT+0000 (GMT);Order;403-1887275-0876348;;ItemFees;ShippingHB;-1.38;;;Amazon.fr;25624439742
3167729422;Wed Oct 01 2025 09:48:42 GMT+0000 (GMT);Order;403-1887275-0876348;;ItemFees;DigitalServicesFee;-0.08;;;Amazon.fr;25624439742
3167733827;Wed Oct 01 2025 09:48:43 GMT+0000 (GMT);Order;305-4925007-8596331;;ItemPrice;Principal;22.27;;;Amazon.de;25671855822
3167733828;Wed Oct 01 2025 09:48:43 GMT+0000 (GMT);Order;305-4925007-8596331;;ItemPrice;Tax;4.23;;;Amazon.de;25671855822
3167733829;Wed Oct 01 2025 09:48:43 GMT+0000 (GMT);Order;305-4925007-8596331;;ItemPrice;Shipping;4.12;;;Amazon.de;25671855822
3167733830;Wed Oct 01 2025 09:48:43 GMT+0000 (GMT);Order;305-4925007-8596331;;ItemPrice;ShippingTax;0.78;;;Amazon.de;25671855822
3167733831;Wed Oct 01 2025 09:48:43 GMT+0000 (GMT);Order;305-4925007-8596331;;ItemFees;Commission;-4.09;;;Amazon.de;25671855822
3167733832;Wed Oct 01 2025 09:48:43 GMT+0000 (GMT);Order;305-4925007-8596331;;ItemFees;ShippingHB;-0.76;;;Amazon.de;25671855822
3167733997;Wed Oct 01 2025 09:48:50 GMT+0000 (GMT);Order;028-3276808-4921919;;ItemPrice;Principal;23.95;;;Amazon.de;25671855822
3167733998;Wed Oct 01 2025 09:48:50 GMT+0000 (GMT);Order;028-3276808-4921919;;ItemPrice;Tax;4.55;;;Amazon.de;25671855822
3167733999;Wed Oct 01 2025 09:48:50 GMT+0000 (GMT);Order;028-3276808-4921919;;ItemPrice;Shipping;4.12;;;Amazon.de;25671855822
3167734000;Wed Oct 01 2025 09:48:50 GMT+0000 (GMT);Order;028-3276808-4921919;;ItemPrice;ShippingTax;0.78;;;Amazon.de;25671855822
3167734001;Wed Oct 01 2025 09:48:50 GMT+0000 (GMT);Order;028-3276808-4921919;;ItemFees;Commission;-4.06;;;Amazon.de;25671855822
3167734002;Wed Oct 01 2025 09:48:50 GMT+0000 (GMT);Order;028-3276808-4921919;;ItemFees;ShippingHB;-0.7;;;Amazon.de;25671855822
3176677623;Wed Oct 01 2025 09:50:12 GMT+0000 (GMT);Order;402-5975813-3272363;;ItemPrice;Principal;37.14;;;Amazon.es;25624609592
3176677624;Wed Oct 01 2025 09:50:12 GMT+0000 (GMT);Order;402-5975813-3272363;;ItemPrice;Tax;7.05;;;Amazon.es;25624609592
3176677625;Wed Oct 01 2025 09:50:12 GMT+0000 (GMT);Order;402-5975813-3272363;;ItemPrice;Shipping;11.68;;;Amazon.es;25624609592
3176677626;Wed Oct 01 2025 09:50:12 GMT+0000 (GMT);Order;402-5975813-3272363;;ItemPrice;ShippingTax;2.22;;;Amazon.es;25624609592
3176677627;Wed Oct 01 2025 09:50:12 GMT+0000 (GMT);Order;402-5975813-3272363;;ItemFees;Commission;-6.84;;;Amazon.es;25624609592
3176677628;Wed Oct 01 2025 09:50:12 GMT+0000 (GMT);Order;402-5975813-3272363;;ItemFees;ShippingHB;-2.15;;;Amazon.es;25624609592
3176677629;Wed Oct 01 2025 09:50:12 GMT+0000 (GMT);Order;402-5975813-3272363;;ItemFees;DigitalServicesFee;-0.17;;;Amazon.es;25624609592
3167734038;Wed Oct 01 2025 09:52:09 GMT+0000 (GMT);Order;304-6389594-8445161;;ItemPrice;Principal;25.13;;;Amazon.de;25671855822
3167734039;Wed Oct 01 2025 09:52:09 GMT+0000 (GMT);Order;304-6389594-8445161;;ItemPrice;Tax;4.77;;;Amazon.de;25671855822
3167734040;Wed Oct 01 2025 09:52:09 GMT+0000 (GMT);Order;304-6389594-8445161;;ItemPrice;Shipping;4.12;;;Amazon.de;25671855822
3167734041;Wed Oct 01 2025 09:52:09 GMT+0000 (GMT);Order;304-6389594-8445161;;ItemPrice;ShippingTax;0.78;;;Amazon.de;25671855822
3167734042;Wed Oct 01 2025 09:52:09 GMT+0000 (GMT);Order;304-6389594-8445161;;ItemFees;Commission;-4.61;;;Amazon.de;25671855822
3167734043;Wed Oct 01 2025 09:52:09 GMT+0000 (GMT);Order;304-6389594-8445161;;ItemFees;ShippingHB;-0.76;;;Amazon.de;25671855822
3167734179;Wed Oct 01 2025 10:04:43 GMT+0000 (GMT);Order;304-4413777-4965902;;ItemPrice;Principal;58.66;;;Amazon.de;25671855822
3167734180;Wed Oct 01 2025 10:04:43 GMT+0000 (GMT);Order;304-4413777-4965902;;ItemPrice;Tax;11.14;;;Amazon.de;25671855822
3167734181;Wed Oct 01 2025 10:04:43 GMT+0000 (GMT);Order;304-4413777-4965902;;ItemFees;Commission;-10.81;;;Amazon.de;25671855822
3167734324;Wed Oct 01 2025 10:08:21 GMT+0000 (GMT);Order;306-4868346-0941905;;ItemPrice;Principal;25.97;;;Amazon.de;25671855822
3167734325;Wed Oct 01 2025 10:08:21 GMT+0000 (GMT);Order;306-4868346-0941905;;ItemPrice;Tax;4.93;;;Amazon.de;25671855822
3167734326;Wed Oct 01 2025 10:08:21 GMT+0000 (GMT);Order;306-4868346-0941905;;ItemFees;Commission;-4.78;;;Amazon.de;25671855822
3167733937;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;Principal;88.66;;;Amazon.de;25671855822
3167733938;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;Tax;16.84;;;Amazon.de;25671855822
3167733939;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;Shipping;1.37;;;Amazon.de;25671855822
3167733940;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;ShippingTax;0.26;;;Amazon.de;25671855822
3167733941;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemFees;Commission;-16.32;;;Amazon.de;25671855822
3167733942;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemFees;ShippingHB;-0.24;;;Amazon.de;25671855822
3167733943;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;Principal;87.82;;;Amazon.de;25671855822
3167733944;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;Tax;16.68;;;Amazon.de;25671855822
3167733945;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;Shipping;1.37;;;Amazon.de;25671855822
3167733946;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;ShippingTax;0.26;;;Amazon.de;25671855822
3167733947;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemFees;Commission;-16.17;;;Amazon.de;25671855822
3167733948;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemFees;ShippingHB;-0.24;;;Amazon.de;25671855822
3167733949;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;Principal;88.66;;;Amazon.de;25671855822
3167733950;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;Tax;16.84;;;Amazon.de;25671855822
3167733951;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;Shipping;1.38;;;Amazon.de;25671855822
3167733952;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemPrice;ShippingTax;0.26;;;Amazon.de;25671855822
3167733953;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemFees;Commission;-16.32;;;Amazon.de;25671855822
3167733954;Wed Oct 01 2025 10:37:41 GMT+0000 (GMT);Order;303-2647926-4485962;;ItemFees;ShippingHB;-0.24;;;Amazon.de;25671855822
3176677583;Wed Oct 01 2025 10:42:44 GMT+0000 (GMT);Order;402-2542475-2972312;;ItemPrice;Principal;99.75;;;Amazon.es;25624609592
3176677584;Wed Oct 01 2025 10:42:44 GMT+0000 (GMT);Order;402-2542475-2972312;;ItemPrice;Shipping;11.9;;;Amazon.es;25624609592
3176677585;Wed Oct 01 2025 10:42:44 GMT+0000 (GMT);Order;402-2542475-2972312;;ItemFees;Commission;-16.94;;;Amazon.es;25624609592
3176677586;Wed Oct 01 2025 10:42:44 GMT+0000 (GMT);Order;402-2542475-2972312;;ItemFees;ShippingHB;-1.7;;;Amazon.es;25624609592
3176677587;Wed Oct 01 2025 10:42:44 GMT+0000 (GMT);Order;402-2542475-2972312;;ItemFees;DigitalServicesFee;-0.36;;;Amazon.es;25624609592
3167734288;Wed Oct 01 2025 10:48:22 GMT+0000 (GMT);Order;305-4382199-0076302;;ItemPrice;Principal;156.34;;;Amazon.de;25671855822
3167734289;Wed Oct 01 2025 10:48:22 GMT+0000 (GMT);Order;305-4382199-0076302;;ItemPrice;Tax;29.71;;;Amazon.de;25671855822
3167734290;Wed Oct 01 2025 10:48:22 GMT+0000 (GMT);Order;305-4382199-0076302;;ItemPrice;Shipping;4.12;;;Amazon.de;25671855822
3167734291;Wed Oct 01 2025 10:48:22 GMT+0000 (GMT);Order;305-4382199-0076302;;ItemPrice;ShippingTax;0.78;;;Amazon.de;25671855822
3167734292;Wed Oct 01 2025 10:48:22 GMT+0000 (GMT);Order;305-4382199-0076302;;ItemFees;Commission;-28.77;;;Amazon.de;25671855822
3167734293;Wed Oct 01 2025 10:48:22 GMT+0000 (GMT);Order;305-4382199-0076302;;ItemFees;ShippingHB;-0.76;;;Amazon.de;25671855822
3167733919;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemPrice;Principal;67.65;;;Amazon.de;25671855822
3167733920;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemPrice;Tax;12.85;;;Amazon.de;25671855822
3167733921;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemPrice;Shipping;2.06;;;Amazon.de;25671855822
3167733922;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemPrice;ShippingTax;0.39;;;Amazon.de;25671855822
3167733923;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemFees;Commission;-12.45;;;Amazon.de;25671855822
3167733924;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemFees;ShippingHB;-0.38;;;Amazon.de;25671855822
3167733925;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemPrice;Principal;67.65;;;Amazon.de;25671855822
3167733926;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemPrice;Tax;12.85;;;Amazon.de;25671855822
3167733927;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemPrice;Shipping;2.06;;;Amazon.de;25671855822
3167733928;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemPrice;ShippingTax;0.39;;;Amazon.de;25671855822
3167733929;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemFees;Commission;-12.45;;;Amazon.de;25671855822
3167733930;Wed Oct 01 2025 10:54:48 GMT+0000 (GMT);Order;028-9657432-6569150;;ItemFees;ShippingHB;-0.39;;;Amazon.de;25671855822
3167734224;Wed Oct 01 2025 10:59:13 GMT+0000 (GMT);Order;302-4835807-2389163;;ItemPrice;Principal;47.69;;;Amazon.de;25671855822
3167734225;Wed Oct 01 2025 10:59:13 GMT+0000 (GMT);Order;302-4835807-2389163;;ItemPrice;Shipping;6.9;;;Amazon.de;25671855822
3167734226;Wed Oct 01 2025 10:59:13 GMT+0000 (GMT);Order;302-4835807-2389163;;ItemFees;Commission;-8.77;;;Amazon.de;25671855822
3167734227;Wed Oct 01 2025 10:59:13 GMT+0000 (GMT);Order;302-4835807-2389163;;ItemFees;ShippingHB;-1.07;;;Amazon.de;25671855822
3167733873;Wed Oct 01 2025 10:59:41 GMT+0000 (GMT);Order;305-8194233-3026728;;ItemPrice;Principal;47.69;;;Amazon.de;25671855822
3167733874;Wed Oct 01 2025 10:59:41 GMT+0000 (GMT);Order;305-8194233-3026728;;ItemPrice;Tax;9.06;;;Amazon.de;25671855822
3167733875;Wed Oct 01 2025 10:59:41 GMT+0000 (GMT);Order;305-8194233-3026728;;ItemPrice;Shipping;4.12;;;Amazon.de;25671855822
3167733876;Wed Oct 01 2025 10:59:41 GMT+0000 (GMT);Order;305-8194233-3026728;;ItemPrice;ShippingTax;0.78;;;Amazon.de;25671855822
3167733877;Wed Oct 01 2025 10:59:41 GMT+0000 (GMT);Order;305-8194233-3026728;;ItemFees;Commission;-8.77;;;Amazon.de;25671855822
3167733878;Wed Oct 01 2025 10:59:41 GMT+0000 (GMT);Order;305-8194233-3026728;;ItemFees;ShippingHB;-0.76;;;Amazon.de;25671855822
3167733809;Wed Oct 01 2025 11:01:49 GMT+0000 (GMT);Order;306-0144469-7037137;;ItemPrice;Principal;69.87;;;Amazon.de;25671855822
3167733810;Wed Oct 01 2025 11:01:49 GMT+0000 (GMT);Order;306-0144469-7037137;;ItemPrice;Tax;13.28;;;Amazon.de;25671855822
3167733811;Wed Oct 01 2025 11:01:49 GMT+0000 (GMT);Order;306-0144469-7037137;;ItemPrice;Shipping;4.12;;;Amazon.de;25671855822
3167733812;Wed Oct 01 2025 11:01:49 GMT+0000 (GMT);Order;306-0144469-7037137;;ItemPrice;ShippingTax;0.78;;;Amazon.de;25671855822
3167733813;Wed Oct 01 2025 11:01:49 GMT+0000 (GMT);Order;306-0144469-7037137;;ItemFees;Commission;-12.86;;;Amazon.de;25671855822
3167733814;Wed Oct 01 2025 11:01:49 GMT+0000 (GMT);Order;306-0144469-7037137;;ItemFees;ShippingHB;-0.76;;;Amazon.de;25671855822
3167729194;Wed Oct 01 2025 11:05:16 GMT+0000 (GMT);Order;408-6048410-1861116;;ItemPrice;Principal;107.92;;;Amazon.fr;25624439742
3167729195;Wed Oct 01 2025 11:05:16 GMT+0000 (GMT);Order;408-6048410-1861116;;ItemPrice;Shipping;8.9;;;Amazon.fr;25624439742
3167729196;Wed Oct 01 2025 11:05:16 GMT+0000 (GMT);Order;408-6048410-1861116;;ItemFees;Commission;-19.86;;;Amazon.fr;25624439742
3167729197;Wed Oct 01 2025 11:05:16 GMT+0000 (GMT);Order;408-6048410-1861116;;ItemFees;ShippingHB;-1.38;;;Amazon.fr;25624439742
3167729198;Wed Oct 01 2025 11:05:16 GMT+0000 (GMT);Order;408-6048410-1861116;;ItemFees;DigitalServicesFee;-0.43;;;Amazon.fr;25624439742
3167729430;Wed Oct 01 2025 11:21:24 GMT+0000 (GMT);Order;171-9316896-2947505;;ItemPrice;Principal;24.51;;;Amazon.fr;25624439742
3167729431;Wed Oct 01 2025 11:21:24 GMT+0000 (GMT);Order;171-9316896-2947505;;ItemPrice;Tax;1.99;;;Amazon.fr;25624439742
3167729432;Wed Oct 01 2025 11:21:24 GMT+0000 (GMT);Order;171-9316896-2947505;;ItemPrice;Shipping;17.48;;;Amazon.fr;25624439742
3167729433;Wed Oct 01 2025 11:21:24 GMT+0000 (GMT);Order;171-9316896-2947505;;ItemPrice;ShippingTax;1.42;;;Amazon.fr;25624439742
3167729434;Wed Oct 01 2025 11:21:24 GMT+0000 (GMT);Order;171-9316896-2947505;;ItemWithheldTax;MarketplaceFacilitatorVAT-Shipping;-1.42;;;Amazon.fr;25624439742
3167729435;Wed Oct 01 2025 11:21:24 GMT+0000 (GMT);Order;171-9316896-2947505;;ItemWithheldTax;MarketplaceFacilitatorVAT-Principal;-1.99;;;Amazon.fr;25624439742
3167729436;Wed Oct 01 2025 11:21:24 GMT+0000 (GMT);Order;171-9316896-2947505;;ItemFees;Commission;-4.09;;;Amazon.fr;25624439742
3167729437;Wed Oct 01 2025 11:21:24 GMT+0000 (GMT);Order;171-9316896-2947505;;ItemFees;ShippingHB;-2.92;;;Amazon.fr;25624439742
3167729438;Wed Oct 01 2025 11:21:24 GMT+0000 (GMT);Order;171-9316896-2947505;;ItemFees;DigitalServicesFee;-0.14;;;Amazon.fr;25624439742
3167734318;Wed Oct 01 2025 11:25:16 GMT+0000 (GMT);Order;302-9169333-1938739;;ItemPrice;Principal;157.56;;;Amazon.de;25671855822
3167734319;Wed Oct 01 2025 11:25:16 GMT+0000 (GMT);Order;302-9169333-1938739;;ItemPrice;Tax;29.94;;;Amazon.de;25671855822
3167734320;Wed Oct 01 2025 11:25:16 GMT+0000 (GMT);Order;302-9169333-1938739;;ItemFees;Commission;-29.03;;;Amazon.de;25671855822
3167804167;Wed Oct 01 2025 11:38:01 GMT+0000 (GMT);Order;403-0474700-6389905;;ItemPrice;Principal;99.18;;;Amazon.it;25573651082
3167804168;Wed Oct 01 2025 11:38:01 GMT+0000 (GMT);Order;403-0474700-6389905;;ItemPrice;Tax;21.82;;;Amazon.it;25573651082
3167804169;Wed Oct 01 2025 11:38:01 GMT+0000 (GMT);Order;403-0474700-6389905;;ItemPrice;Shipping;9.76;;;Amazon.it;25573651082
3167804170;Wed Oct 01 2025 11:38:01 GMT+0000 (GMT);Order;403-0474700-6389905;;ItemPrice;ShippingTax;2.14;;;Amazon.it;25573651082
3167804171;Wed Oct 01 2025 11:38:01 GMT+0000 (GMT);Order;403-0474700-6389905;;ItemFees;Commission;-18.71;;;Amazon.it;25573651082
3167804172;Wed Oct 01 2025 11:38:01 GMT+0000 (GMT);Order;403-0474700-6389905;;ItemFees;ShippingHB;-1.84;;;Amazon.it;25573651082
3167804173;Wed Oct 01 2025 11:38:01 GMT+0000 (GMT);Order;403-0474700-6389905;;ItemFees;DigitalServicesFee;-0.41;;;Amazon.it;25573651082
3167734404;Wed Oct 01 2025 11:47:00 GMT+0000 (GMT);other-transaction;305-4606460-9340307;;other-transaction;Shipping label purchase for return;-7.87;;;;25671855822
3167734312;Wed Oct 01 2025 11:57:50 GMT+0000 (GMT);Order;306-7226142-9155528;;ItemPrice;Principal;35.46;;;Amazon.de;25671855822
3167734313;Wed Oct 01 2025 11:57:50 GMT+0000 (GMT);Order;306-7226142-9155528;;ItemPrice;Tax;6.74;;;Amazon.de;25671855822
3167734314;Wed Oct 01 2025 11:57:50 GMT+0000 (GMT);Order;306-7226142-9155528;;ItemPrice;Shipping;4.12;;;Amazon.de;25671855822
3167734315;Wed Oct 01 2025 11:57:50 GMT+0000 (GMT);Order;306-7226142-9155528;;ItemPrice;ShippingTax;0.78;;;Amazon.de;25671855822
3167734316;Wed Oct 01 2025 11:57:50 GMT+0000 (GMT);Order;306-7226142-9155528;;ItemFees;Commission;-6.52;;;Amazon.de;25671855822
3167734317;Wed Oct 01 2025 11:57:50 GMT+0000 (GMT);Order;306-7226142-9155528;;ItemFees;ShippingHB;-0.76;;;Amazon.de;25671855822
3167729206;Wed Oct 01 2025 12:21:42 GMT+0000 (GMT);Order;405-8747427-7541922;;ItemPrice;Principal;79.62;;;Amazon.fr;25624439742
3167729207;Wed Oct 01 2025 12:21:42 GMT+0000 (GMT);Order;405-8747427-7541922;;ItemPrice;Tax;15.93;;;Amazon.fr;25624439742
3167729208;Wed Oct 01 2025 12:21:42 GMT+0000 (GMT);Order;405-8747427-7541922;;ItemPrice;Shipping;7.42;;;Amazon.fr;25624439742
3167729209;Wed Oct 01 2025 12:21:42 GMT+0000 (GMT);Order;405-8747427-7541922;;ItemPrice;ShippingTax;1.48;;;Amazon.fr;25624439742
3167729210;Wed Oct 01 2025 12:21:42 GMT+0000 (GMT);Order;405-8747427-7541922;;ItemFees;Commission;-14.78;;;Amazon.fr;25624439742
3167729211;Wed Oct 01 2025 12:21:42 GMT+0000 (GMT);Order;405-8747427-7541922;;ItemFees;ShippingHB;-1.38;;;Amazon.fr;25624439742
3167729212;Wed Oct 01 2025 12:21:42 GMT+0000 (GMT);Order;405-8747427-7541922;;ItemFees;DigitalServicesFee;-0.33;;;Amazon.fr;25624439742
3167804174;Wed Oct 01 2025 12:50:00 GMT+0000 (GMT);Order;406-4695835-8289969;;ItemPrice;Principal;16.22;;;Amazon.it;25573651082
3167804175;Wed Oct 01 2025 12:50:00 GMT+0000 (GMT);Order;406-4695835-8289969;;ItemPrice;Shipping;11.9;;;Amazon.it;25573651082
3167804176;Wed Oct 01 2025 12:50:00 GMT+0000 (GMT);Order;406-4695835-8289969;;ItemFees;Commission;-2.98;;;Amazon.it;25573651082
3167804177;Wed Oct 01 2025 12:50:00 GMT+0000 (GMT);Order;406-4695835-8289969;;ItemFees;ShippingHB;-1.84;;;Amazon.it;25573651082
3167804178;Wed Oct 01 2025 12:50:00 GMT+0000 (GMT);Order;406-4695835-8289969;;ItemFees;DigitalServicesFee;-0.09;;;Amazon.it;25573651082
3176677602;Wed Oct 01 2025 12:56:23 GMT+0000 (GMT);Order;405-5756197-8589901;;ItemPrice;Principal;21.07;;;Amazon.es;25624609592
